"","poll_house","Слуга.народу","Опозиційна.платформа","Європейська.солідарність","Батьківщина","Сила.і.Честь","Громадянська.позиція","Опозиційний.блок","Радикальна.партія","Українська.стратегія","Свобода","Самопоміч","Голос..Вакарчук..","Не.визначились","Не.піду.на.вибори","end_date","MoE","sigma"
"1","КМІС, Рейтинг, Центр Разумкова",7.7,5.8,4.9,13.3,NA,5.9,NA,4.3,NA,1.9,2.7,NA,19.6,17.2,2018-11-02,1.1,0.55
"2","КМІС",7.3,6.3,6.3,13.1,NA,5.1,1.1,4.5,NA,1.3,2.2,2.3,29,14.8,2018-12-03,2.8,1.4
"3","Рейтинг",8.1,6,6,13.5,NA,4.7,NA,4,NA,1.8,2.4,NA,19.8,17.1,2018-12-10,0.5,0.25
"4","Соцмоніторинг, УІСД",9.4,8.5,8.1,14.9,NA,8.4,1.5,5.8,NA,1.6,4.2,NA,15.2,11.8,2018-12-22,2.2,1.1
"5","Демініціативи та Центр Разумкова",7.9,7.2,9.8,13.5,NA,5.6,2.2,4.7,NA,2.3,2.7,NA,14.1,14.7,2018-12-25,2.3,1.15
"6","Рейтинг-IRI",8,7,8,14,NA,6,1,6,NA,1,3,NA,20,15,2018-12-27,2,1
"7","ІАП, Соціопрогноз",8.5,8.1,8,14.2,NA,7.3,2,6,NA,1.8,3,NA,17.1,14.4,2019-01-25,2.4,1.2
"8","КМІС",13.8,5.8,7.9,10.1,NA,3.5,1.3,3.5,NA,1,2.1,1,34.7,9.3,2019-02-10,2.8,1.4
"9","Центр Разумкова",15.2,5.5,12,12.6,NA,6.4,2.3,4.4,NA,1.2,2.4,NA,19,10.7,2019-02-14,2.3,1.15
"10","КМІС",12.5,6.3,8.9,9.3,NA,3.3,2.2,3.2,NA,0.9,2,1.3,33.1,12.9,2019-02-20,2.8,1.4
"11","Соцмоніторинг, УІСД",15.8,7.9,9.1,12.8,NA,7,2.1,4.3,NA,1.4,4.2,NA,16.7,11.3,2019-02-23,2.2,1.1
"12","Рейтинг",13.3,6.4,8.2,10.9,NA,3.5,1.2,2.8,NA,2.2,3.2,NA,27.6,12.6,2019-02-28,2,1
"13","КМІС, Рейтинг, Центр Разумкова",15.6,5.8,9,10.9,NA,5.7,2.7,3.4,NA,1.9,1.6,NA,27.8,9.9,2019-03-14,0.8,0.4
"14","СОЦІС",18,8.1,10.65,9.9,NA,6.15,NA,4.4,NA,1.1,1.8,NA,25.95,9.7,2019-03-14,2.1,1.05
"15","Рейтинг",15.5,6.8,10.7,13,NA,5.7,2.3,4.1,NA,2.5,2,NA,22.7,8.6,2019-03-15,2,1
"16","Соцмоніторинг, УІСД",18.6,8.9,8.9,12.8,NA,7.8,3,4.5,NA,NA,NA,NA,18.4,11,2019-03-18,2.2,1.1
"17","КМІС",13.1,6.4,7.6,8.9,NA,4.5,2.7,2.8,NA,1.8,1,NA,37.4,7,2019-03-22,2.8,1.4
"18","Соцмоніторинг, УІСД, Рейтинг",29.5,8.1,7.8,6.7,3.8,3.7,2.6,2.4,NA,1.8,1.5,0.7,17.3,8.8,2019-05-10,1.8,0.9
